,transaction_date,ticker,asset_description,type,amount,name,disclosure_date,chamber,first_name,last_name,party,birthday,gender,represents
4153,2018-08-03,DISCA,"Discovery, Inc.",sale_partial,15000,David A Perdue ,2018-09-04,senate,David,Perdue,Republican,1949-12-10,M,GA
4154,2018-08-02,FDC,First Data Corporation,sale_partial,15000,David A Perdue ,2018-09-04,senate,David,Perdue,Republican,1949-12-10,M,GA
4155,2018-08-01,FDC,First Data Corporation,sale_partial,15000,David A Perdue ,2018-09-04,senate,David,Perdue,Republican,1949-12-10,M,GA
4156,2018-08-01,MOS,The Mosaic Company,sale_partial,15000,David A Perdue ,2018-09-04,senate,David,Perdue,Republican,1949-12-10,M,GA
4157,2018-08-01,CZR,Caesars Entertainment Corporation,purchase,15000,David A Perdue ,2018-09-04,senate,David,Perdue,Republican,1949-12-10,M,GA
4161,2018-08-21,FB,"Facebook, Inc.",purchase,50000,Pat Roberts,2018-08-28,senate,Pat,Roberts,Republican,1935-01-30,M,SD
4163,2018-08-20,XOM,Exxon Mobil Corporation,purchase,15000,Pat Roberts,2018-08-28,senate,Pat,Roberts,Republican,1935-01-30,M,SD
4164,2018-08-20,DVN,Devon Energy Corporation,sale_full,50000,Pat Roberts,2018-08-28,senate,Pat,Roberts,Republican,1935-01-30,M,SD
4165,2018-08-20,NFLX,"Netflix, Inc.",purchase,50000,Pat Roberts,2018-08-28,senate,Pat,Roberts,Republican,1935-01-30,M,SD
4166,2018-08-20,NOC,Northrop Grumman Corporation,purchase,50000,Pat Roberts,2018-08-28,senate,Pat,Roberts,Republican,1935-01-30,M,SD
4167,2018-07-30,NVDA,NVIDIA Corporation,sale_full,100000,Pat Roberts,2018-08-28,senate,Pat,Roberts,Republican,1935-01-30,M,SD
4168,2018-07-30,AAPL,Apple Inc.,sale_full,100000,Pat Roberts,2018-08-28,senate,Pat,Roberts,Republican,1935-01-30,M,SD
4169,2018-07-30,AMZN,"Amazon.com, Inc.",sale_full,50000,Pat Roberts,2018-08-28,senate,Pat,Roberts,Republican,1935-01-30,M,SD
4170,2018-07-30,JPM,JPMorgan Chase Co.,sale_full,15000,Pat Roberts,2018-08-28,senate,Pat,Roberts,Republican,1935-01-30,M,SD
4171,2018-07-30,BA,The Boeing Company,sale_full,100000,Pat Roberts,2018-08-28,senate,Pat,Roberts,Republican,1935-01-30,M,SD
4173,2018-08-03,CAT,Caterpillar Inc.,purchase,100000,John Hoeven,2018-08-24,senate,John,Hoeven,Republican,1957-03-13,M,ND
4176,2018-07-26,IIN,IntriCon Corporation,sale_partial,250000,Tina Smith,2018-08-21,senate,Tina,Smith,Democrat,1965-06-15,M,WA
4177,2018-08-16,INTU,Intuit Inc.,purchase,100000,James M Inhofe,2018-08-20,senate,James,Inhofe,Republican,1934-11-17,M,OK
4178,2018-08-16,BKNG,Booking Holdings Inc.,sale_full,100000,James M Inhofe,2018-08-20,senate,James,Inhofe,Republican,1934-11-17,M,OK
4179,2018-07-26,DHR,Danaher Corporation,purchase,100000,James M Inhofe,2018-08-20,senate,James,Inhofe,Republican,1934-11-17,M,OK
4180,2018-08-14,BAM,Brookfield Asset Management Inc.,sale_partial,50000,James M Inhofe,2018-08-20,senate,James,Inhofe,Republican,1934-11-17,M,OK
4181,2018-07-26,BFAM,Bright Horizons Family Solutions Inc.,sale_partial,50000,James M Inhofe,2018-08-20,senate,James,Inhofe,Republican,1934-11-17,M,OK
4185,2018-07-25,ENB,Enbridge Inc.,sale_partial,15000,Shelley M Capito,2018-08-10,senate,Shelley,Capito,Republican,1953-11-26,F,WV
4187,2017-09-20,GILD,"Gilead Sciences, Inc.",sale_full,15000,Sheldon Whitehouse,2018-08-10,senate,Sheldon,Whitehouse,Democrat,1955-10-20,M,RI
4188,2018-07-09,MCHP,Microchip Technology Incorporated,sale_partial,50000,Sheldon Whitehouse,2018-08-07,senate,Sheldon,Whitehouse,Democrat,1955-10-20,M,RI
4189,2018-07-09,MCHP,Microchip Technology Incorporated,sale_partial,50000,Sheldon Whitehouse,2018-08-07,senate,Sheldon,Whitehouse,Democrat,1955-10-20,M,RI
4194,2018-07-26,WTW,"Weight Watchers International, Inc.",purchase,250000,John Hoeven,2018-08-03,senate,John,Hoeven,Republican,1957-03-13,M,ND
4196,2018-07-27,REVB,Revere Bank,sale_partial,50000,Patrick J Toomey,2018-08-03,senate,Patrick,Toomey,Republican,1961-11-17,M,PA
4197,2018-07-03,GLD,SPDR Gold Shares,sale_partial,50000,Patrick J Toomey,2018-08-03,senate,Patrick,Toomey,Republican,1961-11-17,M,PA
4199,2018-07-31,BOIVF,Bollore,purchase,15000,David A Perdue ,2018-08-01,senate,David,Perdue,Republican,1949-12-10,M,GA
4200,2018-07-30,WPX,"WPX Energy, Inc.",sale_partial,15000,David A Perdue ,2018-08-01,senate,David,Perdue,Republican,1949-12-10,M,GA
4201,2018-07-30,CBS,CBS Corporation,purchase,50000,David A Perdue ,2018-08-01,senate,David,Perdue,Republican,1949-12-10,M,GA
4202,2018-07-27,AXTA,Axalta Coating Systems Ltd.,purchase,15000,David A Perdue ,2018-08-01,senate,David,Perdue,Republican,1949-12-10,M,GA
4203,2018-07-25,FDC,First Data Corporation,sale_partial,15000,David A Perdue ,2018-08-01,senate,David,Perdue,Republican,1949-12-10,M,GA
4204,2018-07-25,GM,General Motors Company,purchase,15000,David A Perdue ,2018-08-01,senate,David,Perdue,Republican,1949-12-10,M,GA
4205,2018-07-25,GM,General Motors Company,purchase,15000,David A Perdue ,2018-08-01,senate,David,Perdue,Republican,1949-12-10,M,GA
4206,2018-07-25,KN,Knowles Corporation,sale_partial,15000,David A Perdue ,2018-08-01,senate,David,Perdue,Republican,1949-12-10,M,GA
4207,2018-07-25,KN,Knowles Corporation,sale_partial,15000,David A Perdue ,2018-08-01,senate,David,Perdue,Republican,1949-12-10,M,GA
4208,2018-07-20,FDC,First Data Corporation,sale_partial,15000,David A Perdue ,2018-08-01,senate,David,Perdue,Republican,1949-12-10,M,GA
4209,2018-07-19,SBUX,Starbucks Corporation,sale_full,50000,David A Perdue ,2018-08-01,senate,David,Perdue,Republican,1949-12-10,M,GA
4210,2018-07-17,GPK,Graphic Packaging Holding Company,sale_partial,15000,David A Perdue ,2018-08-01,senate,David,Perdue,Republican,1949-12-10,M,GA
4211,2018-07-17,LYV,"Live Nation Entertainment, Inc.",sale_partial,15000,David A Perdue ,2018-08-01,senate,David,Perdue,Republican,1949-12-10,M,GA
4212,2018-07-16,FDC,First Data Corporation,sale_partial,15000,David A Perdue ,2018-08-01,senate,David,Perdue,Republican,1949-12-10,M,GA
4213,2018-07-20,GM,General Motors Company,purchase,15000,David A Perdue ,2018-08-01,senate,David,Perdue,Republican,1949-12-10,M,GA
4214,2018-07-19,NFLX,"Netflix, Inc.",purchase,50000,David A Perdue ,2018-08-01,senate,David,Perdue,Republican,1949-12-10,M,GA
4215,2018-07-17,BOIVF,Bollore,purchase,15000,David A Perdue ,2018-08-01,senate,David,Perdue,Republican,1949-12-10,M,GA
4216,2018-07-16,GM,General Motors Company,purchase,15000,David A Perdue ,2018-08-01,senate,David,Perdue,Republican,1949-12-10,M,GA
4217,2017-07-18,CDLX,"Cardlytics, Inc.",purchase,5000000,David A Perdue ,2018-08-01,senate,David,Perdue,Republican,1949-12-10,M,GA
4218,2018-07-10,AVP,"Avon Products, Inc.",purchase,15000,David A Perdue ,2018-08-01,senate,David,Perdue,Republican,1949-12-10,M,GA
4219,2018-07-13,LYV,"Live Nation Entertainment, Inc.",sale_partial,15000,David A Perdue ,2018-08-01,senate,David,Perdue,Republican,1949-12-10,M,GA
4220,2018-07-13,LYV,"Live Nation Entertainment, Inc.",sale_partial,15000,David A Perdue ,2018-08-01,senate,David,Perdue,Republican,1949-12-10,M,GA
4221,2018-07-13,RF,Regions Financial Corporation,purchase,15000,David A Perdue ,2018-08-01,senate,David,Perdue,Republican,1949-12-10,M,GA
4222,2018-07-12,FDC,First Data Corporation,sale_partial,15000,David A Perdue ,2018-08-01,senate,David,Perdue,Republican,1949-12-10,M,GA
4223,2018-07-12,FDC,First Data Corporation,sale_partial,15000,David A Perdue ,2018-08-01,senate,David,Perdue,Republican,1949-12-10,M,GA
4224,2018-07-11,FDC,First Data Corporation,sale_partial,15000,David A Perdue ,2018-08-01,senate,David,Perdue,Republican,1949-12-10,M,GA
4225,2018-07-10,DISCA,"Discovery, Inc.",sale_partial,15000,David A Perdue ,2018-08-01,senate,David,Perdue,Republican,1949-12-10,M,GA
4226,2018-07-11,GM,General Motors Company,purchase,15000,David A Perdue ,2018-08-01,senate,David,Perdue,Republican,1949-12-10,M,GA
4227,2018-07-11,GM,General Motors Company,purchase,15000,David A Perdue ,2018-08-01,senate,David,Perdue,Republican,1949-12-10,M,GA
4228,2018-07-10,GM,General Motors Company,purchase,15000,David A Perdue ,2018-08-01,senate,David,Perdue,Republican,1949-12-10,M,GA
4229,2018-07-06,GM,General Motors Company,purchase,15000,David A Perdue ,2018-08-01,senate,David,Perdue,Republican,1949-12-10,M,GA
4230,2018-07-27,UNFI,"United Natural Foods, Inc.",sale_full,15000,John F Reed,2018-08-01,senate,John,Reed,Democrat,1949-11-12,M,RI
4232,2018-07-05,FB,"Facebook, Inc.",purchase,50000,Pat Roberts,2018-07-30,senate,Pat,Roberts,Republican,1935-01-30,M,SD
4233,2018-07-05,NOC,Northrop Grumman Corporation,purchase,50000,Pat Roberts,2018-07-30,senate,Pat,Roberts,Republican,1935-01-30,M,SD
4234,2018-07-24,BAC,Bank of America Corporation,sale_full,15000,Pat Roberts,2018-07-30,senate,Pat,Roberts,Republican,1935-01-30,M,SD
4235,2018-07-18,TGT,Target Corporation,sale_full,15000,Pat Roberts,2018-07-30,senate,Pat,Roberts,Republican,1935-01-30,M,SD
4236,2018-07-18,BAC,Bank of America Corporation,sale_partial,15000,Pat Roberts,2018-07-30,senate,Pat,Roberts,Republican,1935-01-30,M,SD
4237,2018-07-05,TGT,Target Corporation,purchase,15000,Pat Roberts,2018-07-30,senate,Pat,Roberts,Republican,1935-01-30,M,SD
4238,2018-07-05,BAC,Bank of America Corporation,purchase,15000,Pat Roberts,2018-07-30,senate,Pat,Roberts,Republican,1935-01-30,M,SD
4239,2018-07-12,GILD,GILD,sale_full,100000,James M Inhofe,2018-07-25,senate,James,Inhofe,Republican,1934-11-17,M,OK
4240,2018-07-12,CELG,Celgene Corporation,purchase,50000,James M Inhofe,2018-07-25,senate,James,Inhofe,Republican,1934-11-17,M,OK
4241,2018-05-22,RPM,RPM International Inc.,sale_partial,15000,Daniel S Sullivan,2018-07-24,senate,Daniel,Sullivan,Republican,1964-11-13,M,AK
4242,2018-03-28,RPM,RPM International Inc.,sale_partial,15000,Daniel S Sullivan,2018-07-24,senate,Daniel,Sullivan,Republican,1964-11-13,M,AK
4245,2017-11-13,RSPP,"RSP Permian, Inc.",sale_full,100000,James M Inhofe,2018-07-19,senate,James,Inhofe,Republican,1934-11-17,M,OK
4246,2018-07-05,DHR,Danaher Corporation,sale_partial,15000,John F Reed,2018-07-18,senate,John,Reed,Democrat,1949-11-12,M,RI
4247,2018-06-25,REVB,Revere Bank,sale_partial,15000,Patrick J Toomey,2018-07-18,senate,Patrick,Toomey,Republican,1961-11-17,M,PA
4248,2018-06-06,REVB,Revere Bank,sale_partial,50000,Patrick J Toomey,2018-07-18,senate,Patrick,Toomey,Republican,1961-11-17,M,PA
4249,2018-06-07,BA,The Boeing Company,sale_full,15000,Shelley M Capito,2018-07-14,senate,Shelley,Capito,Republican,1953-11-26,F,WV
4250,2018-06-06,WMT,Walmart Inc.,purchase,15000,Sheldon Whitehouse,2018-07-13,senate,Sheldon,Whitehouse,Democrat,1955-10-20,M,RI
4251,2018-06-06,PYPL,"PayPal Holdings, Inc.",purchase,15000,Sheldon Whitehouse,2018-07-13,senate,Sheldon,Whitehouse,Democrat,1955-10-20,M,RI
4252,2018-06-06,LRCX,Lam Research Corporation,purchase,15000,Sheldon Whitehouse,2018-07-13,senate,Sheldon,Whitehouse,Democrat,1955-10-20,M,RI
4253,2018-06-06,GS,"The Goldman Sachs Group, Inc.",purchase,15000,Sheldon Whitehouse,2018-07-13,senate,Sheldon,Whitehouse,Democrat,1955-10-20,M,RI
4254,2018-06-06,DAL,"Delta Air Lines, Inc.",purchase,15000,Sheldon Whitehouse,2018-07-13,senate,Sheldon,Whitehouse,Democrat,1955-10-20,M,RI
4255,2018-06-06,C,Citigroup Inc.,purchase,15000,Sheldon Whitehouse,2018-07-13,senate,Sheldon,Whitehouse,Democrat,1955-10-20,M,RI
4256,2018-06-06,BA,The Boeing Company,purchase,15000,Sheldon Whitehouse,2018-07-13,senate,Sheldon,Whitehouse,Democrat,1955-10-20,M,RI
4257,2018-06-06,BABA,Alibaba Group Holding Limited,purchase,15000,Sheldon Whitehouse,2018-07-13,senate,Sheldon,Whitehouse,Democrat,1955-10-20,M,RI
4258,2018-06-13,KHC,The Kraft Heinz Company,purchase,15000,Sheldon Whitehouse,2018-07-13,senate,Sheldon,Whitehouse,Democrat,1955-10-20,M,RI
4259,2018-06-13,BTO,John Hancock Financial Opportunities Fund,purchase,15000,Sheldon Whitehouse,2018-07-13,senate,Sheldon,Whitehouse,Democrat,1955-10-20,M,RI
4261,2018-06-13,T,AT&amp;T Inc.,purchase,15000,Sheldon Whitehouse,2018-07-13,senate,Sheldon,Whitehouse,Democrat,1955-10-20,M,RI
4262,2018-06-13,ON,ON Semiconductor Corporation,purchase,15000,Sheldon Whitehouse,2018-07-13,senate,Sheldon,Whitehouse,Democrat,1955-10-20,M,RI
4263,2018-06-28,ST,Sensata Technologies Holding PLC,sale_full,100000,James M Inhofe,2018-07-12,senate,James,Inhofe,Republican,1934-11-17,M,OK
4264,2018-06-28,LEA,Lear Corporation,purchase,50000,James M Inhofe,2018-07-12,senate,James,Inhofe,Republican,1934-11-17,M,OK
4265,2018-06-28,APTV,Aptiv PLC,purchase,50000,James M Inhofe,2018-07-12,senate,James,Inhofe,Republican,1934-11-17,M,OK
4266,2018-06-04,NSRGY,Nestlé S.A.,sale_full,15000,Susan M Collins,2018-07-10,senate,Susan,Collins,Republican,1952-12-07,F,ME
4267,2018-06-04,UNH,UnitedHealth Group Incorporated,purchase,15000,Susan M Collins,2018-07-10,senate,Susan,Collins,Republican,1952-12-07,F,ME
4268,2018-06-04,SLB,Schlumberger Limited,sale_full,15000,Susan M Collins,2018-07-10,senate,Susan,Collins,Republican,1952-12-07,F,ME
4269,2018-06-04,PFE,Pfizer Inc.,sale_full,15000,Susan M Collins,2018-07-10,senate,Susan,Collins,Republican,1952-12-07,F,ME
4270,2018-06-18,PEP,"PepsiCo, Inc.",sale_partial,15000,Susan M Collins,2018-07-10,senate,Susan,Collins,Republican,1952-12-07,F,ME
4271,2018-06-18,NSRGY,Nestlé S.A.,sale_full,15000,Susan M Collins,2018-07-10,senate,Susan,Collins,Republican,1952-12-07,F,ME
4272,2018-06-04,CMCSA,Comcast Corporation,sale_full,15000,Susan M Collins,2018-07-10,senate,Susan,Collins,Republican,1952-12-07,F,ME
4273,2018-06-04,UNH,UnitedHealth Group Incorporated,purchase,15000,Susan M Collins,2018-07-10,senate,Susan,Collins,Republican,1952-12-07,F,ME
4274,2018-06-04,TMO,Thermo Fisher Scientific Inc.,purchase,15000,Susan M Collins,2018-07-10,senate,Susan,Collins,Republican,1952-12-07,F,ME
4275,2018-06-04,MRK,"Merck Co., Inc.",purchase,15000,Susan M Collins,2018-07-10,senate,Susan,Collins,Republican,1952-12-07,F,ME
4276,2018-06-18,STZ,"Constellation Brands, Inc.",purchase,50000,Susan M Collins,2018-07-10,senate,Susan,Collins,Republican,1952-12-07,F,ME
4278,2018-06-27,T,AT&amp;T Inc.,purchase,100000,John Hoeven,2018-07-10,senate,John,Hoeven,Republican,1957-03-13,M,ND
4280,2018-07-05,DISCA,"Discovery, Inc.",sale_partial,15000,David A Perdue ,2018-07-06,senate,David,Perdue,Republican,1949-12-10,M,GA
4281,2018-07-05,GM,General Motors Company,purchase,15000,David A Perdue ,2018-07-06,senate,David,Perdue,Republican,1949-12-10,M,GA
4282,2018-07-05,GM,General Motors Company,purchase,50000,David A Perdue ,2018-07-06,senate,David,Perdue,Republican,1949-12-10,M,GA
4283,2018-07-02,MYL,Mylan N.V.,sale_partial,50000,David A Perdue ,2018-07-06,senate,David,Perdue,Republican,1949-12-10,M,GA
4284,2018-06-26,SU,Suncor Energy Inc.,purchase,50000,David A Perdue ,2018-07-06,senate,David,Perdue,Republican,1949-12-10,M,GA
4286,2018-06-14,FOXA,"Twenty-First Century Fox, Inc.",sale_partial,15000,David A Perdue ,2018-07-06,senate,David,Perdue,Republican,1949-12-10,M,GA
4287,2018-07-02,MYL,Mylan N.V.,sale_partial,50000,David A Perdue ,2018-07-06,senate,David,Perdue,Republican,1949-12-10,M,GA
4288,2018-06-13,FOXA,"Twenty-First Century Fox, Inc.",sale_partial,15000,David A Perdue ,2018-07-06,senate,David,Perdue,Republican,1949-12-10,M,GA
4289,2018-06-13,FDC,First Data Corporation,sale_partial,50000,David A Perdue ,2018-07-06,senate,David,Perdue,Republican,1949-12-10,M,GA
4290,2018-06-26,CRMT,"America's Car-Mart, Inc.",sale_full,15000,David A Perdue ,2018-07-06,senate,David,Perdue,Republican,1949-12-10,M,GA
4291,2018-06-28,BOIVF,Bollore,purchase,15000,David A Perdue ,2018-07-06,senate,David,Perdue,Republican,1949-12-10,M,GA
4292,2018-06-28,CZR,Caesars Entertainment Corporation,purchase,15000,David A Perdue ,2018-07-06,senate,David,Perdue,Republican,1949-12-10,M,GA
4293,2018-06-27,BOIVF,Bollore,purchase,15000,David A Perdue ,2018-07-06,senate,David,Perdue,Republican,1949-12-10,M,GA
4294,2018-06-27,CZR,Caesars Entertainment Corporation,purchase,15000,David A Perdue ,2018-07-06,senate,David,Perdue,Republican,1949-12-10,M,GA
4295,2018-06-27,SPY,SPDR S&amp;P 500,purchase,50000,David A Perdue ,2018-07-06,senate,David,Perdue,Republican,1949-12-10,M,GA
4296,2018-06-26,BOIVF,Bollore,purchase,15000,David A Perdue ,2018-07-06,senate,David,Perdue,Republican,1949-12-10,M,GA
4297,2018-06-25,FEYE,"FireEye, Inc.",purchase,15000,David A Perdue ,2018-07-06,senate,David,Perdue,Republican,1949-12-10,M,GA
4298,2018-06-25,RF,Regions Financial Corporation,purchase,15000,David A Perdue ,2018-07-06,senate,David,Perdue,Republican,1949-12-10,M,GA
4299,2018-06-25,FEYE,"FireEye, Inc.",purchase,15000,David A Perdue ,2018-07-06,senate,David,Perdue,Republican,1949-12-10,M,GA
4300,2018-06-22,FEYE,"FireEye, Inc.",purchase,15000,David A Perdue ,2018-07-06,senate,David,Perdue,Republican,1949-12-10,M,GA
4301,2018-06-22,RF,Regions Financial Corporation,purchase,15000,David A Perdue ,2018-07-06,senate,David,Perdue,Republican,1949-12-10,M,GA
4302,2018-06-21,FOX,"Twenty-First Century Fox, Inc.",sale_partial,15000,David A Perdue ,2018-07-06,senate,David,Perdue,Republican,1949-12-10,M,GA
4303,2018-06-21,FOXA,"Twenty-First Century Fox, Inc.",sale_partial,50000,David A Perdue ,2018-07-06,senate,David,Perdue,Republican,1949-12-10,M,GA
4304,2018-06-21,KMI,"Kinder Morgan, Inc.",sale_partial,15000,David A Perdue ,2018-07-06,senate,David,Perdue,Republican,1949-12-10,M,GA
4305,2018-06-21,OKE,"ONEOK, Inc.",sale_partial,15000,David A Perdue ,2018-07-06,senate,David,Perdue,Republican,1949-12-10,M,GA
4306,2018-06-21,BRK-B,Berkshire Hathaway Inc.,purchase,50000,David A Perdue ,2018-07-06,senate,David,Perdue,Republican,1949-12-10,M,GA
4307,2018-06-21,UHAL,AMERCO,purchase,15000,David A Perdue ,2018-07-06,senate,David,Perdue,Republican,1949-12-10,M,GA
4308,2018-06-21,LNG,"Cheniere Energy, Inc.",purchase,15000,David A Perdue ,2018-07-06,senate,David,Perdue,Republican,1949-12-10,M,GA
4309,2018-06-21,LNG,"Cheniere Energy, Inc.",purchase,15000,David A Perdue ,2018-07-06,senate,David,Perdue,Republican,1949-12-10,M,GA
4310,2018-06-21,RF,Regions Financial Corporation,purchase,15000,David A Perdue ,2018-07-06,senate,David,Perdue,Republican,1949-12-10,M,GA
4311,2018-06-21,RF,Regions Financial Corporation,purchase,15000,David A Perdue ,2018-07-06,senate,David,Perdue,Republican,1949-12-10,M,GA
4312,2018-06-20,CZR,Caesars Entertainment Corporation,purchase,15000,David A Perdue ,2018-07-06,senate,David,Perdue,Republican,1949-12-10,M,GA
4313,2018-06-20,FOXA,"Twenty-First Century Fox, Inc.",sale_partial,15000,David A Perdue ,2018-07-06,senate,David,Perdue,Republican,1949-12-10,M,GA
4314,2018-06-19,T,AT&amp;T Inc.,sale_full,15000,David A Perdue ,2018-07-06,senate,David,Perdue,Republican,1949-12-10,M,GA
4315,2018-06-19,FOXA,"Twenty-First Century Fox, Inc.",sale_partial,15000,David A Perdue ,2018-07-06,senate,David,Perdue,Republican,1949-12-10,M,GA
4316,2018-06-14,CRMT,"America's Car-Mart, Inc.",sale_partial,15000,David A Perdue ,2018-07-06,senate,David,Perdue,Republican,1949-12-10,M,GA
4317,2018-06-14,FOXA,"Twenty-First Century Fox, Inc.",sale_partial,15000,David A Perdue ,2018-07-06,senate,David,Perdue,Republican,1949-12-10,M,GA
4319,2018-06-13,SBUX,Starbucks Corporation,sale_partial,50000,David A Perdue ,2018-07-06,senate,David,Perdue,Republican,1949-12-10,M,GA
4321,2018-06-11,FOXA,"Twenty-First Century Fox, Inc.",sale_partial,15000,David A Perdue ,2018-07-06,senate,David,Perdue,Republican,1949-12-10,M,GA
4322,2018-06-11,CRMT,"America's Car-Mart, Inc.",sale_partial,15000,David A Perdue ,2018-07-06,senate,David,Perdue,Republican,1949-12-10,M,GA
4323,2018-06-08,FDC,First Data Corporation,sale_partial,15000,David A Perdue ,2018-07-06,senate,David,Perdue,Republican,1949-12-10,M,GA
4324,2018-06-06,USG,USG Corporation,sale_full,15000,David A Perdue ,2018-07-06,senate,David,Perdue,Republican,1949-12-10,M,GA
4325,2018-06-04,USG,USG Corporation,sale_partial,15000,David A Perdue ,2018-07-06,senate,David,Perdue,Republican,1949-12-10,M,GA
4326,2018-06-01,CRMT,"America's Car-Mart, Inc.",sale_partial,15000,David A Perdue ,2018-07-06,senate,David,Perdue,Republican,1949-12-10,M,GA
4327,2018-06-04,DISCA,"Discovery, Inc.",purchase,15000,David A Perdue ,2018-07-06,senate,David,Perdue,Republican,1949-12-10,M,GA
4328,2018-06-04,DISCA,"Discovery, Inc.",purchase,15000,David A Perdue ,2018-07-06,senate,David,Perdue,Republican,1949-12-10,M,GA
4331,2018-05-21,SHW,The Sherwin-Williams Company,sale_partial,15000,Gary C Peters,2018-07-03,senate,Gary,Peters,Democrat,1958-12-01,M,MI
4335,2018-06-25,AMZN,"Amazon.com, Inc.",purchase,50000,Pat Roberts,2018-06-28,senate,Pat,Roberts,Republican,1935-01-30,M,SD
4336,2018-06-25,NFLX,"Netflix, Inc.",purchase,100000,Pat Roberts,2018-06-28,senate,Pat,Roberts,Republican,1935-01-30,M,SD
4337,2018-06-22,CVX,Chevron Corporation,purchase,15000,Pat Roberts,2018-06-28,senate,Pat,Roberts,Republican,1935-01-30,M,SD
4338,2018-06-22,NFLX,"Netflix, Inc.",sale_full,100000,Pat Roberts,2018-06-28,senate,Pat,Roberts,Republican,1935-01-30,M,SD
4339,2018-06-22,AMZN,"Amazon.com, Inc.",sale_full,50000,Pat Roberts,2018-06-28,senate,Pat,Roberts,Republican,1935-01-30,M,SD
4343,2018-06-19,CRSP,CRISPR Therapeutics AG,sale_partial,50000,James M Inhofe,2018-06-20,senate,James,Inhofe,Republican,1934-11-17,M,OK
4344,2018-06-04,BMY,Bristol-Myers Squibb Company,sale_full,100000,James M Inhofe,2018-06-20,senate,James,Inhofe,Republican,1934-11-17,M,OK
4345,2018-05-29,CLR,"Continental Resources, Inc.",sale_partial,50000,James M Inhofe,2018-06-20,senate,James,Inhofe,Republican,1934-11-17,M,OK
4346,2018-06-07,MET,"MetLife, Inc.",purchase,100000,John Hoeven,2018-06-14,senate,John,Hoeven,Republican,1957-03-13,M,ND
4347,2018-06-07,CVS,CVS Health Corporation,purchase,100000,John Hoeven,2018-06-14,senate,John,Hoeven,Republican,1957-03-13,M,ND
4348,2018-06-01,AMZN,"Amazon.com, Inc.",purchase,100000,John Hoeven,2018-06-14,senate,John,Hoeven,Republican,1957-03-13,M,ND
4349,2018-06-01,WFC,Wells Fargo Company,purchase,15000,A. Mitchell Mcconnell,2018-06-13,senate,Mitchell,McConnell,Republican,1942-02-20,M,KY
4350,2018-05-08,JPM,JPMorgan Chase Co.,purchase,50000,Susan M Collins,2018-06-12,senate,Susan,Collins,Republican,1952-12-07,F,ME
4351,2018-05-08,USB,U.S. Bancorp,sale_full,15000,Susan M Collins,2018-06-12,senate,Susan,Collins,Republican,1952-12-07,F,ME
4352,2018-05-04,HOLX,"Hologic, Inc.",sale_full,50000,Susan M Collins,2018-06-12,senate,Susan,Collins,Republican,1952-12-07,F,ME
4354,2018-05-16,AMZN,"Amazon.com, Inc.",purchase,15000,Pat Roberts,2018-06-11,senate,Pat,Roberts,Republican,1935-01-30,M,SD
4355,2018-06-01,TCMD,"Tactile Systems Technology, Inc.",sale_partial,250000,Tina Smith,2018-06-11,senate,Tina,Smith,Democrat,1965-06-15,M,WA
4356,2018-06-01,TCMD,"Tactile Systems Technology, Inc.",sale_full,250000,Tina Smith,2018-06-11,senate,Tina,Smith,Democrat,1965-06-15,M,WA
4357,2018-06-01,PODD,Insulet Corporation,sale_partial,250000,Tina Smith,2018-06-11,senate,Tina,Smith,Democrat,1965-06-15,M,WA
4358,2018-05-17,RCL,Royal Caribbean Cruises Ltd.,sale_full,15000,Shelley M Capito,2018-06-09,senate,Shelley,Capito,Republican,1953-11-26,F,WV
4359,2018-05-18,BNPQY,BNP Paribas SA,sale_full,15000,Shelley M Capito,2018-06-09,senate,Shelley,Capito,Republican,1953-11-26,F,WV
4360,2018-05-18,IT,"Amadeus IT Group, S.A.",sale_full,15000,Shelley M Capito,2018-06-09,senate,Shelley,Capito,Republican,1953-11-26,F,WV
4361,2018-05-17,DWDP,DowDuPont Inc.,purchase,15000,Shelley M Capito,2018-06-09,senate,Shelley,Capito,Republican,1953-11-26,F,WV
4363,2018-05-02,BOX,"Box, Inc.",sale_partial,15000,Patrick J Toomey,2018-06-07,senate,Patrick,Toomey,Republican,1961-11-17,M,PA
4364,2018-05-02,BOX,"Box, Inc.",purchase,15000,Patrick J Toomey,2018-06-07,senate,Patrick,Toomey,Republican,1961-11-17,M,PA
4365,2018-05-07,C,Citigroup Inc.,purchase,15000,Sheldon Whitehouse,2018-06-07,senate,Sheldon,Whitehouse,Democrat,1955-10-20,M,RI
4366,2018-05-07,AMZN,"Amazon.com, Inc.",purchase,50000,Sheldon Whitehouse,2018-06-07,senate,Sheldon,Whitehouse,Democrat,1955-10-20,M,RI
4367,2018-05-07,CB,Chubb Limited,purchase,15000,Sheldon Whitehouse,2018-06-07,senate,Sheldon,Whitehouse,Democrat,1955-10-20,M,RI
4368,2018-05-07,HD,"The Home Depot, Inc.",purchase,15000,Sheldon Whitehouse,2018-06-07,senate,Sheldon,Whitehouse,Democrat,1955-10-20,M,RI
4369,2018-05-07,MCD,McDonald's Corporation,purchase,15000,Sheldon Whitehouse,2018-06-07,senate,Sheldon,Whitehouse,Democrat,1955-10-20,M,RI
4370,2018-05-24,F,Ford Motor Company,purchase,15000,Sheldon Whitehouse,2018-06-07,senate,Sheldon,Whitehouse,Democrat,1955-10-20,M,RI
